fid;PROVINSI;KABUPATEN ATAU KOTA;KECAMATAN;BELUM/TIDAK BEKERJA;APARATUR PEJABAT NEGARA;TENAGA PENGAJAR;WIRASWASTA;PERTANIAN DAN PETERNAKAN;NELAYAN;AGAMA DAN KEPERCAYAAN;PELAJAR DAN MAHASISWA;TENAGA KESEHATAN;PENSIUNAN;PEKERJAAN LAINNYA
60206;JAWA TENGAH;PURWOREJO;Bagelen;4904;594;284;8455;6379;3;7;5686;29;463;4668
60272;JAWA TENGAH;PURWOREJO;Banyuurip;8079;1704;598;12448;4548;4;9;8056;140;1115;6991
60300;JAWA TENGAH;PURWOREJO;Bayan;10942;1191;589;17588;6534;5;7;8794;72;741;6651
60537;JAWA TENGAH;PURWOREJO;Bener;11306;468;351;15992;14941;8;3;9491;50;308;6363
60473;JAWA TENGAH;PURWOREJO;Bruno;15935;281;184;11584;14737;7;2;6637;35;112;6209
60245;JAWA TENGAH;PURWOREJO;Butuh;8232;974;431;11254;8749;2;2;7534;95;586;5851
60492;JAWA TENGAH;PURWOREJO;Gebang;9348;750;338;13974;8105;2;2;6889;11;78;626
60084;JAWA TENGAH;PURWOREJO;Grabag;9499;811;273;13222;10706;17;3;9004;44;412;7241
60224;JAWA TENGAH;PURWOREJO;Kaligesing;6413;313;224;7383;9901;5;3;4806;39;179;3549
60424;JAWA TENGAH;PURWOREJO;Kemiri;10915;827;418;16680;14293;4;11;10020;80;374;7184
60315;JAWA TENGAH;PURWOREJO;Kutoarjo;10600;1306;733;22954;5515;8;23;11911;117;967;8818
60475;JAWA TENGAH;PURWOREJO;Loano;8081;534;297;12788;5906;5;4;6690;45;364;4778
60081;JAWA TENGAH;PURWOREJO;Ngombol;7334;872;351;7757;8078;20;2;5927;48;406;5378
60082;JAWA TENGAH;PURWOREJO;Pituruh;10594;965;426;12885;14100;1;5;8751;77;443;6297
60079;JAWA TENGAH;PURWOREJO;Purwodadi;8680;932;400;11534;7293;57;8;7029;66;681;5679
60209;JAWA TENGAH;PURWOREJO;Purworejo;16621;3653;1362;32202;3187;8;90;15631;331;2112;12910
