fid;PROVINSI;KABUPATEN ATAU KOTA;KECAMATAN;Luas_km2;Tinggi_mdpl;Jarak_Kab
60206;JAWA TENGAH;PURWOREJO;Bagelen;64,17;24;12
60272;JAWA TENGAH;PURWOREJO;Banyuurip;48,76;32;10
60300;JAWA TENGAH;PURWOREJO;Bayan;45,75;24;10
60537;JAWA TENGAH;PURWOREJO;Bener;105,35;153;11
60473;JAWA TENGAH;PURWOREJO;Bruno;109,57;205;31
60245;JAWA TENGAH;PURWOREJO;Butuh;48,33;13;18
60492;JAWA TENGAH;PURWOREJO;Gebang;72,66;49;9
60084;JAWA TENGAH;PURWOREJO;Grabag;69,38;16;22
60224;JAWA TENGAH;PURWOREJO;Kaligesing;80,07;140;10
60424;JAWA TENGAH;PURWOREJO;Kemiri;104,67;21;18
60315;JAWA TENGAH;PURWOREJO;Kutoarjo;39,72;2;11
60475;JAWA TENGAH;PURWOREJO;Loano;53,66;213;18
60081;JAWA TENGAH;PURWOREJO;Ngombol;59,92;20;16
60082;JAWA TENGAH;PURWOREJO;Pituruh;93,62;18;23
60079;JAWA TENGAH;PURWOREJO;Purwodadi;56,96;12;11
60209;JAWA TENGAH;PURWOREJO;Purworejo;54,14;77;3
