fid,PROVINSI,KABUPATEN ATAU KOTA,KECAMATAN,POPULASI,JUMLAH_KK,KPDTN_PEND,PRPDHN_PND,ISLAM,NON_ISLAM,LAKI-LAKI,PEREMPUAN,TDK_BKRJ,ASN,PENGAJAR,WIRASWASTA,TANI_TERNAK,NELAYAN,AGAMA,PELAJAR_MHS,NAKES,PENSIUNAN,LAINNYA,LUAS_KM2,TINGGI_MDPL,JARAK_KAB,RES_GIRL,RES_BOY
60206,JAWA TENGAH,PURWOREJO,Bagelen,31472,10710,9019.3,93,30420,1052,15619,15853,4904,594,284,8455,6379,3,7,5686,29,463,4668,"64,17",24,12,14,14
60272,JAWA TENGAH,PURWOREJO,Banyuurip,43692,15350,84943.75,145,42382,1310,21576,22116,8079,1704,598,12448,4548,4,9,8056,140,1115,6991,"48,76",32,10,37,21
60300,JAWA TENGAH,PURWOREJO,Bayan,53114,17952,32261.25,132,52689,425,26409,26705,10942,1191,589,17588,6534,5,7,8794,72,741,6651,"45,75",24,10,31,17
60537,JAWA TENGAH,PURWOREJO,Bener,59283,19297,17984.08,129,59177,106,29950,29333,11306,468,351,15992,14941,8,3,9491,50,308,6363,"105,35",153,11,26,11
60473,JAWA TENGAH,PURWOREJO,Bruno,55723,18173,9813.81,120,55654,69,28647,27076,15935,281,184,11584,14737,7,2,6637,35,112,6209,"109,57",205,31,20,13
60245,JAWA TENGAH,PURWOREJO,Butuh,43710,15064,38304.45,141,43371,339,21709,22001,8232,974,431,11254,8749,2,2,7534,95,586,5851,"48,33",13,18,30,29
60492,JAWA TENGAH,PURWOREJO,Gebang,44800,15165,16918.35,115,44635,165,22533,22267,9348,750,338,13974,8105,2,2,6889,11,78,626,"72,66",49,9,28,17
60084,JAWA TENGAH,PURWOREJO,Grabag,51232,17450,25718.36,145,51013,219,25753,25479,9499,811,273,13222,10706,17,3,9004,44,412,7241,"69,38",16,22,10,16
60224,JAWA TENGAH,PURWOREJO,Kaligesing,32815,10804,8721.17,79,32079,736,16505,16310,6413,313,224,7383,9901,5,3,4806,39,179,3549,"80,07",140,10,15,4
60424,JAWA TENGAH,PURWOREJO,Kemiri,60806,20510,30440.72,132,60644,162,30697,30109,10915,827,418,16680,14293,4,11,10020,80,374,7184,"104,67",21,18,55,25
60315,JAWA TENGAH,PURWOREJO,Kutoarjo,62952,21633,41142.82,170,60245,2707,31457,31495,10600,1306,733,22954,5515,8,23,11911,117,967,8818,"39,72",2,11,49,17
60475,JAWA TENGAH,PURWOREJO,Loano,39492,13123,17055.19,75,39329,163,19877,19615,8081,534,297,12788,5906,5,4,6690,45,364,4778,"53,66",213,18,27,15
60081,JAWA TENGAH,PURWOREJO,Ngombol,36173,12661,35878.41,119,35417,756,17955,18218,7334,872,351,7757,8078,20,2,5927,48,406,5378,"59,92",20,16,37,9
60082,JAWA TENGAH,PURWOREJO,Pituruh,54544,18836,42012.18,179,54182,362,27394,27150,10594,965,426,12885,14100,1,5,8751,77,443,6297,"93,62",18,23,51,22
60079,JAWA TENGAH,PURWOREJO,Purwodadi,42359,14966,29860.3,119,41107,1252,21001,21358,8680,932,400,11534,7293,57,8,7029,66,681,5679,"56,96",12,11,59,37
60209,JAWA TENGAH,PURWOREJO,Purworejo,88108,30482,45383.98,260,82689,5419,43720,44388,16621,3653,1362,32202,3187,8,90,15631,331,2112,12910,"54,14",77,3,44,22
