FID,Kecamatan,GP_JML,GP_PCT,PS_JML,PS_PCT,AB_JML,AB_PCT,LAIN_JML,LAIN_PCT,NA_JML,NA_PCT,JML_RESP,PDIP_PCTL,GE_PCTL,DEM_PCTL,GK_PCTL,PAN_PCTL,PRD_PCTL,ND_PCTL,MAX_PRES,MAX_LEG,KL_MAXPRES,KL_MAXLEG
1,Bagelen,16,57.14,5,17.86,1,3.57,1,3.57,5,17.86,28,32.143,7.143,25,3.571,3.571,14.286,0,57.14,32.143,GP,PDIP
2,Banyuurip,27,46.55,16,27.59,1,1.72,1,1.72,13,22.41,58,24.138,8.621,20.69,22.414,1.724,12.069,1.724,46.55,24.138,GP,PDIP
3,Bayan,20,41.67,12,25,0,0,0,0,16,33.33,48,27.083,12.5,16.667,16.667,2.083,12.5,8.333,41.67,27.083,GP,PDIP
4,Bener,17,45.95,7,18.92,1,2.7,1,2.7,11,29.73,37,40.541,13.514,21.622,16.216,8.108,8.108,5.405,45.95,40.541,GP,PDIP
5,Bruno,9,27.27,12,36.36,1,3.03,0,0,11,33.33,33,45.455,15.152,9.091,21.212,6.061,12.121,6.061,36.36,45.455,PS,PDIP
6,Butuh,19,32.2,13,22.03,4,6.78,3,5.08,20,33.9,59,35.593,3.39,30.508,11.864,5.085,6.78,0,33.9,35.593,NA,PDIP
7,Gebang,21,46.67,12,26.67,0,0,1,2.22,11,24.44,45,31.111,17.778,13.333,11.111,6.667,6.667,2.222,46.67,31.111,GP,PDIP
8,Grabag,11,42.31,6,23.08,0,0,3,11.54,6,23.08,26,50,3.846,19.231,11.538,0,3.846,0,42.31,50,GP,PDIP
9,Kaligesing,7,36.84,7,36.84,0,0,1,5.26,4,21.05,19,47.368,15.789,5.263,15.789,0,10.526,5.263,36.84,47.368,GP,PDIP
10,Kemiri,14,17.5,31,38.75,2,2.5,0,0,33,41.25,80,33.75,11.25,15,12.5,12.5,7.5,1.25,41.25,33.75,NA,PDIP
11,Kutoarjo,20,30.3,14,21.21,1,1.52,4,6.06,27,40.91,66,34.848,6.061,22.727,9.091,4.545,15.152,1.515,40.91,34.848,NA,PDIP
12,Loano,20,47.62,8,19.05,0,0,1,2.38,13,30.95,42,50,9.524,16.667,14.286,2.381,7.143,0,47.62,50,GP,PDIP
13,Ngombol,26,56.52,11,23.91,0,0,1,2.17,8,17.39,46,26.087,8.696,26.087,13.043,4.348,6.522,6.522,56.52,26.087,GP,PDIP
14,Pituruh,21,28.77,16,21.92,2,2.74,1,1.37,33,45.21,73,43.836,9.589,12.329,4.11,6.849,19.178,2.74,45.21,43.836,NA,PDIP
15,Purwodadi,50,52.08,20,20.83,0,0,2,2.08,24,25,96,34.375,11.458,15.625,10.417,4.167,19.792,1.042,52.08,34.375,GP,PDIP
16,Purworejo,31,46.97,17,25.76,3,4.55,3,4.55,12,18.18,66,42.424,12.121,15.152,9.091,4.545,7.576,6.061,46.97,42.424,GP,PDIP
