No,Usia (tahun),Jenis Kelamin,Pekerjaan Ortu,Penghasilan Ortu/bulan ,Kecamatan,IND1,IND2,IND3,IND4,IND5,IND6,IND7,IND8,IND9,IND10,PAR_LEG,PAR_PRES,CAPRES,SK_FIL,KL_FIL
1,16,Perempuan,Lainnya,"Rp1.000.000,00 - Rp5.000.000,00",Bayan,Ya,Kurang tahu,Tidak,Media sosial dan media berita,Tidak Setuju,Tidak,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Demokrat,PDIP,Ganjar Pranowo,24,Sedang
2,17,Perempuan,Lainnya,"Rp1.000.000,00 - Rp5.000.000,00",Kemiri,Ya,Mengetahui,Ya,Media sosial dan media berita,Tidak Setuju,Ya,Sering,Ya,Tidak,Tidak terpengaruh,Perindo,Perindo,Ganjar Pranowo,29,Tinggi
3,17,Perempuan,Karyawan Swasta,"Rp5.000.000 - Rp10.000.000,00",Kutoarjo,Ya,Mengetahui,Ya,Orang tua - keluarga atau Teman,Tidak Setuju,Tidak,Kadang-kadang,Mungkin,Tidak,Ragu-ragu,Perindo,PDIP,Ganjar Pranowo,25,Sedang
4,17,Laki-laki,"Pengusaha / Kontraktor / Bidang Sipil, Real Estate atau Teknik","Rp5.000.000 - Rp10.000.000,00",Banyuurip,Ya,Mengetahui,Ya,Media sosial dan media berita,Tidak Setuju,Ya,Sering,Ya,Tidak,Tidak terpengaruh,Gerindra,Gerindra,Prabowo Subianto,29,Tinggi
5,18,Perempuan,Petani / Nelayan,"Rp1.000.000,00 - Rp5.000.000,00",Butuh,Ya,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Kurang Setuju,Tidak,Kadang-kadang,Mungkin,Ya,Ragu-ragu,Perindo,PDIP,Ganjar Pranowo,20,Sedang
6,18,Perempuan,Buruh,"<Rp1.000.000,00",Bayan,Ya,Mengetahui,Ya,Media sosial dan media berita,Kurang Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Gerindra,PDIP,Ganjar Pranowo,27,Tinggi
7,18,Perempuan,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Bayan,Ya,Mengetahui,Ya,Media sosial dan media berita,Kurang Setuju,Ya,Jarang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,26,Tinggi
8,18,Perempuan,Pegawai Negeri Sipil (PNS),"Rp1.000.000,00 - Rp5.000.000,00",Kutoarjo,Ya,Mengetahui,Ya,Media sosial dan media berita,Tidak Setuju,Ya,Sering,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,29,Tinggi
9,16,Perempuan,Karyawan Swasta,"<Rp1.000.000,00",Kutoarjo,Ya,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Kurang Setuju,Tidak,Jarang,Mungkin,Mungkin,Ragu-ragu,Demokrat,PDIP,Belum menentukan pilihan,20,Sedang
10,17,Perempuan,Tidak Bekerja,">Rp10.000.000,00",Kutoarjo,Ya,Kurang tahu,Tidak,Orang tua - keluarga atau Teman,Biasa Saja,Tidak,Tidak pernah,Ya,Mungkin,Ragu-ragu,Perindo,Nasdem,Lainnya,19,Sedang
11,17,Laki-laki,Buruh,"<Rp1.000.000,00",Grabag,Ya,Mengetahui,Tidak,Media sosial dan media berita,Biasa Saja,Ragu-ragu,Jarang,Ya,Mungkin,Tidak terpengaruh,PDIP,Perindo,Ganjar Pranowo,21,Sedang
12,17,Laki-laki,Buruh,"Rp1.000.000,00 - Rp5.000.000,00",Kutoarjo,Ya,Mengetahui,Tidak,Media sosial dan media berita,Biasa Saja,Ya,Kadang-kadang,Mungkin,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,24,Sedang
13,17,Perempuan,Pegawai Negeri Sipil (PNS),"Rp1.000.000,00 - Rp5.000.000,00",Kutoarjo,Ya,Mengetahui,Ya,Media sosial dan media berita,Tidak Setuju,Ya,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PAN,Perindo,Prabowo Subianto,28,Tinggi
14,16,Laki-laki,Pegawai Negeri Sipil (PNS),"Rp1.000.000,00 - Rp5.000.000,00",Grabag,Ya,Mengetahui,Ya,Media sosial dan media berita,Tidak Setuju,Ya,Tidak pernah,Ya,Tidak,Tidak terpengaruh,Demokrat,Golkar,Ganjar Pranowo,26,Tinggi
15,17,Laki-laki,"Pengusaha / Kontraktor / Bidang Sipil, Real Estate atau Teknik","Rp1.000.000,00 - Rp5.000.000,00",Butuh,Ya,Mengetahui,Ya,Media sosial dan media berita,Biasa Saja,Ragu-ragu,Kadang-kadang,Mungkin,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,24,Sedang
16,17,Laki-laki,Lainnya,"<Rp1.000.000,00",Grabag,Ya,Kurang tahu,Ya,Orang tua - keluarga atau Teman,Kurang Setuju,Ragu-ragu,Jarang,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,25,Sedang
17,16,Laki-laki,Lainnya,"Rp1.000.000,00 - Rp5.000.000,00",Grabag,Ya,Mengetahui,Ya,Media sosial dan media berita,Tidak Setuju,Tidak,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,Demokrat,Golkar,Belum menentukan pilihan,26,Tinggi
18,17,Laki-laki,Lainnya,"Rp1.000.000,00 - Rp5.000.000,00",Grabag,Ya,Mengetahui,Ya,Media sosial dan media berita,Tidak Setuju,Ya,Sering,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,29,Tinggi
19,18,Laki-laki,Karyawan Swasta,"Rp1.000.000,00 - Rp5.000.000,00",Grabag,Ya,Mengetahui,Ya,Media sosial dan media berita,Tidak Setuju,Ya,Sering,Ya,Tidak,Tidak terpengaruh,PDIP,PDIP,Ganjar Pranowo,29,Tinggi
20,17,Laki-laki,Petani / Nelayan,"Rp1.000.000,00 - Rp5.000.000,00",Grabag,Ya,Mengetahui,Ya,Media sosial dan media berita,Kurang Setuju,Ragu-ragu,Kadang-kadang,Ya,Tidak,Tidak terpengaruh,PDIP,Golkar,Lainnya,25,Sedang
