FID,lat,long,name,address,phone
1,-7.7222463,109.993647,SMA Negeri 1 Purworejo,"Jl. Tentara Pelajar No.55, Sibung, Pangenjurutengah, Kec. Purworejo, Kabupaten Purworejo, Jawa Tengah 54114",+62 275 321537
2,-7.71839,110.0053666,SMAN 7 Purworejo,"Jl. Ki Mangun Sarkoro No.1, Ngupasan, Pangenjurutengah, Kec. Purworejo, Kabupaten Purworejo, Jawa Tengah 54114",+62 275 321066
3,-7.7267285,109.9716408,SMA 6 Purworejo,"Jl. Tentara Pelajar No.Km. 4, Rw. I, Kledung Kradenan, Kec. Banyuurip, Kabupaten Purworejo, Jawa Tengah 54171",+62 275 321500
4,-7.7851236,110.0042265,SMA Negeri 3 Purworejo,"Jl. Yogyakarta No.KM. 8, RT.02/RW.05, Rw.1, Keduren, Kec. Purwodadi, Kabupaten Purworejo, Jawa Tengah 54173",+62 275 323665
5,-7.7260606,109.8641311,SMA Negeri 11 Purworejo,"Jalan Raya Kutoarjo-Kebumen No.KM.5.5, Ketundan, Butuh, Kec. Butuh, Kabupaten Purworejo, Jawa Tengah 54264",+62 275 3140719
6,-7.714714,109.9180529,SMAN 2 Purworejo,"Bandung, Kec. Kutoarjo, Kabupaten Purworejo, Jawa Tengah 54211",+62 275 641317
7,-7.6804691,109.8976929,SMA N 4 Purworejo,"Bedono Kluwung, 8V9X+R38, Kemiri, Bedono, Bedono Kluwung, Purworejo, Kabupaten Purworejo, Jawa Tengah 54262",+62 275 649096
8,-7.6715275,110.0362192,SMA Negeri 5 Purworejo,"Loano Kulon, Loano, Kec. Loano, Kabupaten Purworejo, Jawa Tengah 54181",+62 275 323471
9,-7.803421,109.9098388,SMA Negeri 8 Purworejo,"JL. Grabag Purwodadi Km 1, RW 06, RT.02, Dusun I, Roworejo, Grabag, Purworejo Regency, Central Java 54265",+62 275 3310869
10,-7.8705578,109.9934312,SMA Negeri 9 Purworejo,"Jl. Daendels, Rw.02, Geparang, Kec. Purwodadi, Kabupaten Purworejo, Jawa Tengah 54173",+62 275 7530699
11,-7.6624222,109.8404619,SMA Negeri 10 Purworejo,"Jl, Rw. II, Kalikotes, Kec. Pituruh, Kabupaten Purworejo, Jawa Tengah 54263",+62 275 3142025
